gene1,gene2,statistic,pvalue
ADORA3,CD84,0.88164387524016,6.752081641998216e-05
ADORA3,CSF1R,0.8856073137013926,5.642995790461886e-05
ADORA3,CSF2RA,0.9129216513412812,1.3283763924916224e-05
ADORA3,CYBB,0.8830647880764506,6.336046547489806e-05
ADORA3,DOCK2,0.9198028754982108,8.561850437327009e-06
ADORA3,DOCK8,0.85421890826141,0.000201074383129
ADORA3,EVI2B,0.8546283905229877,0.0001981511363537
ADORA3,GPR34,0.9301102196871688,4.099641341758639e-06
ADORA3,ITGAL,0.8798610890970449,7.304727373003032e-05
ADORA3,ITGAM,0.9204337188090176,8.208092823165422e-06
ADORA3,ITGB2,0.9596260220403514,2.1230714460698602e-07
ADORA3,KIF18B,0.8553477313759654,0.0001930978737923
ADORA3,LILRB4,0.8866079594869254,5.387517837744836e-05
ADORA3,LINC01736,0.8991938821187817,2.8921201345247807e-05
ADORA3,LPAR5,0.9045714354399302,2.162173340923156e-05
ADORA3,LPCAT2,0.8766072925093331,8.406465302059832e-05
ADORA3,LST1,0.9080607188925632,1.773815639800426e-05
ADORA3,LY86,0.9050827076977276,2.1013459206497877e-05
ADORA3,NCKAP1L,0.8737354928703284,9.4858028227328e-05
ADORA3,NSUN7,0.8945057793630822,3.679252106288503e-05
ADORA3,OLR1,0.85552864138892,0.0001918433096898
ADORA3,P2RY13,0.8655149450658848,0.0001320014109588
ADORA3,PIK3R5,0.9742823698818036,1.8278958575387705e-08
ADORA3,RASAL3,0.9289692969105836,4.471513757787467e-06
ADORA3,RNASE6,0.952483728681965,5.128987427664928e-07
ADORA3,SELPLG,0.8947014358768254,3.643291817606218e-05
ADORA3,SYK,0.8880143096912376,5.044220023759144e-05
ADORA3,TBXAS1,0.867267190789051,0.0001232478164772
ADORA3,TLR1,0.903258968905522,2.324830977025893e-05
ADORA3,TLR6,0.9406789659929304,1.6985585747012944e-06
ADORA3,TNFAIP8L2,0.9344061724911248,2.9165158447953803e-06
ADORA3,TREM2,0.9388670149720578,1.997167983614615e-06
ADORA3,WDFY4,0.914513567852102,1.2039576285524398e-05
APBB1IP,B3GNT5,0.8523983015865247,0.0002144901846264
APBB1IP,BIN2,0.8787016727590037,7.683159783352706e-05
APBB1IP,BLNK,0.8741175357464492,9.33614919626959e-05
APBB1IP,C1QC,0.8847516829582477,5.869071546732193e-05
APBB1IP,C3,0.9586513201893908,2.4161636970471e-07
APBB1IP,C3AR1,0.9403025397075094,1.7574025693006395e-06
APBB1IP,CD300C,0.8719915866903911,0.0001019348831316
APBB1IP,CD37,0.972852883556146,2.4545251275824976e-08
APBB1IP,CD53,0.9687768411446306,5.256553160282877e-08
APBB1IP,CD84,0.973293268681712,2.245272771678936e-08
APBB1IP,CIMIP2B,0.8516510345261281,0.0002201987056302
APBB1IP,CSF1R,0.9252987281771848,5.85709458657408e-06
APBB1IP,CSF2RA,0.9561397844188988,3.3255625456904534e-07
APBB1IP,CX3CR1,0.8793831158433438,7.458884902822301e-05
APBB1IP,CYBB,0.8907042224270929,4.436512572797264e-05
APBB1IP,DHRS9,0.8519200557669572,0.0002181298390217
APBB1IP,DOCK2,0.9360762113003042,2.53908944340843e-06
APBB1IP,DOCK8,0.9556778916982672,3.519651502274609e-07
APBB1IP,EVI2B,0.9341704441672072,2.9732614201625628e-06
APBB1IP,F2RL1,0.8509008086282666,0.0002260508275765
APBB1IP,FCRLA,0.864952819521923,0.0001349123290374
APBB1IP,GAL3ST4,0.9045377399588548,2.1662314097175204e-05
APBB1IP,GPR17,0.8535474971067938,0.0002059417517661
APBB1IP,GPR34,0.9302573162297424,4.053575294639947e-06
APBB1IP,HPGDS,0.9099473584317096,1.5885450109152564e-05
APBB1IP,IGSF6,0.941439327846297,1.5845619564992873e-06
APBB1IP,ITGAL,0.9493974613291916,7.206846532441521e-07
APBB1IP,ITGAM,0.8947981352715264,3.625623697094823e-05
APBB1IP,ITGB2,0.9158106956042124,1.1096818183982749e-05
APBB1IP,KCNQ1,0.8556238328173958,0.0001911857941138
APBB1IP,KIF18B,0.9254134356562908,5.809105047270782e-06
APBB1IP,LILRA2,0.8949471615070395,3.59852966500361e-05
APBB1IP,LILRB4,0.9543412433019174,4.133758749149018e-07
APBB1IP,LINC00323,0.9068976767868474,1.8964355235027283e-05
APBB1IP,LINC01736,0.9808711012802894,3.634724394100211e-09
APBB1IP,LOC124901612,0.8505646407633105,0.0002287129270718
APBB1IP,LPAR5,0.9510631631008746,6.014496194420437e-07
APBB1IP,LPCAT2,0.9796979525142506,5.031162340564491e-09
APBB1IP,LST1,0.9509731323058618,6.074545202210657e-07
APBB1IP,LY86,0.917551438303084,9.926117615593323e-06
APBB1IP,MPEG1,0.9013930399572182,2.5728886870431503e-05
APBB1IP,NCKAP1L,0.959676877910102,2.108612005213227e-07
APBB1IP,NSUN7,0.9201694457009668,8.35482367613459e-06
APBB1IP,OLR1,0.8709481583737826,0.0001063669133643
APBB1IP,P2RY13,0.913007600014678,1.3214048112036532e-05
APBB1IP,PARP15,0.8646424369480423,0.0001365414381824
APBB1IP,PIK3R5,0.8888601228415476,4.846356180419067e-05
APBB1IP,PLD4,0.8948271376769051,3.620338053618807e-05
APBB1IP,PLVAP,0.8897041260413642,4.655171419480686e-05
APBB1IP,PTGS1,0.9059531632709872,2.0009587571081448e-05
APBB1IP,RASAL3,0.952717981301092,4.993718375010518e-07
APBB1IP,RNASE6,0.9223146117177682,7.222750204025031e-06
APBB1IP,SAMSN1,0.895337939164107,3.5282551348701434e-05
APBB1IP,SELPLG,0.9128211955944632,1.3365622362657908e-05
APBB1IP,SIGLEC10,0.8566323479250927,0.0001843293170782
APBB1IP,SIGLEC8,0.8721753628072506,0.0001011698108247
APBB1IP,SMIM35,0.8925538835545272,4.053853012154148e-05
APBB1IP,ST6GALNAC2,0.8536901316181372,0.0002048999622634
APBB1IP,SUSD3,0.9211913936087252,7.798905994022967e-06
APBB1IP,SYK,0.9446689230259836,1.1671762849024469e-06
APBB1IP,TBXAS1,0.9503799545405336,6.482467471124707e-07
APBB1IP,TLR1,0.8797408301327121,7.343271227325864e-05
APBB1IP,TLR6,0.9279681419219102,4.819867217511713e-06
APBB1IP,TMEM119,0.93502110117778,2.772601636387398e-06
APBB1IP,TNFAIP8L2,0.8655234381848076,0.0001319578179455
APBB1IP,TREM2,0.9722365662158248,2.77379605808942e-08
APBB1IP,WDFY4,0.9714010044844166,3.259889316055794e-08
APLNR,GFAP,0.9195450907788858,8.709903035635577e-06
APLNR,SIGLEC8,0.8832779798950969,6.27543899782889e-05
APLNR,SYK,0.8594695667295202,0.0001660853233542
APLNR,TBXAS1,0.8539086186608369,0.0002033122947528
APLNR,TMEM119,0.8632831266811188,0.0001438620740937
AQP3,CCBE1,0.9191151037146288,8.961449140723432e-06
AQP3,CFAP95,0.8990216345835522,2.918408675408699e-05
AQP3,FCER2,0.9076317426780972,1.8182759303224703e-05
AQP3,LSP1,0.8965919185328838,3.3101575157594925e-05
AQP3,NRAP,0.850703403573219,0.000227611063441
AQP3,PDYN,0.9262390243080084,5.47299720510262e-06
AQP3,TMEM272,0.8656681389082189,0.0001312168704292
AQP3,TREML1,0.8616262744763502,0.0001532051237415
ARHGAP36,PDYN,0.8619645413537239,0.0001512593813935
