AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Matching.Attribute,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient,type
2.095419847328244,0.042028595663553034,0.4772313296903461,0.40349292381812707,82,4,false,TREM2,TREM2,38.24390243902439,0,82,0,0.9866412213740458,false,0,TREM2,53144,0.23894817073170732,g
2.2900763358778624,0.015993409253109478,0.4366666666666667,0.6560533135875601,74,5,false,TF,TF,52.472972972972975,0,74,0,0.9842673617575871,false,0,TF,25252,0.38023893458676067,g
2.4122137404580153,0.0034334839940119485,0.41455696202531644,0.6983568075117371,72,5,false,NINJ2,NINJ2,53.763888888888886,0,72,0,0.9827778812139266,false,0,NINJ2,9232,0.43357974910394265,g
2.446564885496183,0.006968899550411947,0.4087363494539782,0.6874021909233177,72,5,false,FA2H,FA2H,53.18055555555556,0,72,0,0.9823589648110221,false,0,FA2H,11294,0.43590619307832423,g
2.1603053435114505,0.050824849005612655,0.46289752650176674,0.6676056338028169,71,5,false,UGT8,UGT8,53.309859154929576,0,71,0,0.9858499348352262,false,0,UGT8,53908,0.3211437298489734,g
